Downloaded on,9/6/2026 3:00:00 PM,Url,https://www.congress.gov/votes/house/119-1/363
Result,Passed - Yea: 12 | Nay: 8 (sample second vote)
Representative,Party,State,Vote
"Adams, Alma S. [D-NC]",Democratic,North Carolina,Yea
"Aderholt, Robert B. [R-AL]",Republican,Alabama,Nay
"Aguilar, Pete [D-CA]",Democratic,California,Yea
"Alford, Mark [R-MO]",Republican,Missouri,Nay
"Allen, Rick W. [R-GA]",Republican,Georgia,Yea
"Amo, Gabe [D-RI]",Democratic,Rhode Island,Yea
"Amodei, Mark E. [R-NV]",Republican,Nevada,Nay
"Ansari, Yassamin [D-AZ]",Democratic,Arizona,Yea
"Arrington, Jodey C. [R-TX]",Republican,Texas,Yea
"Auchincloss, Jake [D-MA]",Democratic,Massachusetts,Yea
"Bacon, Don [R-NE]",Republican,Nebraska,Nay
"Balint, Becca [D-VT]",Democratic,Vermont,Yea
"Barr, Andy [R-KY]",Republican,Kentucky,Yea
"Beatty, Joyce [D-OH]",Democratic,Ohio,Nay
"Bentz, Cliff [R-OR]",Republican,Oregon,Nay
"Bera, Ami [D-CA]",Democratic,California,Yea
"Boebert, Lauren [R-CO]",Republican,Colorado,Nay
"Bonamici, Suzanne [D-OR]",Democratic,Oregon,Yea
"Burlison, Eric [R-MO]",Republican,Missouri,Nay
"Carson, Andre [D-IN]",Democratic,Indiana,Yea
